title,genres,weightedAverage
Rear Window,Mystery|Thriller,4.4
Chinatown,Crime|Film-Noir|Mystery|Thriller,4.37
"Usual Suspects, The",Crime|Mystery|Thriller,4.37
Rebecca,Drama|Mystery|Romance|Thriller,4.33
"Third Man, The",Film-Noir|Mystery|Thriller,4.33
Memento,Mystery|Thriller,4.32
Reservoir Dogs,Crime|Mystery|Thriller,4.31
Dogville,Drama|Mystery|Thriller,4.3
"Conversation, The",Drama|Mystery,4.29
"Big Sleep, The",Crime|Film-Noir|Mystery,4.29
Old Boy,Mystery|Thriller,4.28
North by Northwest,Action|Adventure|Mystery|Romance|Thriller,4.28
Shutter Island,Drama|Mystery|Thriller,4.27
"Prestige, The",Drama|Mystery|Sci-Fi|Thriller,4.27
In the Heat of the Night,Drama|Mystery,4.27
Dead Man,Drama|Mystery|Western,4.27
To Catch a Thief,Crime|Mystery|Romance|Thriller,4.26
Kiss Kiss Bang Bang,Comedy|Crime|Mystery|Thriller,4.26
Prisoners,Drama|Mystery|Thriller,4.25
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.24
Hot Fuzz,Action|Comedy|Crime|Mystery,4.23
Lone Star,Drama|Mystery|Western,4.21
L.A. Confidential,Crime|Film-Noir|Mystery|Thriller,4.2
Dial M for Murder,Crime|Mystery|Thriller,4.2
Watchmen,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.19
Citizen Kane,Drama|Mystery,4.19
Jean de Florette,Drama|Mystery,4.18
"39 Steps, The",Drama|Mystery|Thriller,4.18
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,4.18
The Machinist,Drama|Mystery|Thriller,4.18
"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.18
Rashomon,Crime|Drama|Mystery,4.17
Brick,Crime|Drama|Film-Noir|Mystery,4.17
"Maltese Falcon, The",Film-Noir|Mystery,4.16
Vertigo,Drama|Mystery|Romance|Thriller,4.15
Harry Potter and the Deathly Hallows: Part 2,Action|Adventure|Drama|Fantasy|Mystery|IMAX,4.12
Moon,Drama|Mystery|Sci-Fi|Thriller,4.12
"Red Violin, The",Drama|Mystery,4.11
Arsenic and Old Lace,Comedy|Mystery|Thriller,4.1
Predestination,Action|Mystery|Sci-Fi|Thriller,4.1
Sherlock Holmes,Action|Crime|Mystery|Thriller,4.09
Seven,Mystery|Thriller,4.09
"Spanish Prisoner, The",Crime|Drama|Mystery|Thriller,4.09
Lucky Number Slevin,Crime|Drama|Mystery,4.08
Twelve Monkeys,Mystery|Sci-Fi|Thriller,4.08
Zero Effect,Comedy|Mystery|Thriller,4.07
Harry Potter and the Half-Blood Prince,Adventure|Fantasy|Mystery|Romance|IMAX,4.07
Brotherhood of the Wolf,Action|Mystery|Thriller,4.07
Blue Velvet,Drama|Mystery|Thriller,4.07
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,4.06
"Sixth Sense, The",Drama|Horror|Mystery,4.04
"Bourne Identity, The",Action|Mystery|Thriller,4.01
Fracture,Crime|Drama|Mystery|Thriller,4.0
Sherlock Holmes: A Game of Shadows,Action|Adventure|Comedy|Crime|Mystery|Thriller,4.0
Sherlock: The Abominable Bride,Action|Crime|Drama|Mystery|Thriller,4.0
Hugo,Children|Drama|Mystery,4.0
District 9,Mystery|Sci-Fi|Thriller,4.0
The Nice Guys,Crime|Mystery|Thriller,4.0
"Illusionist, The",Drama|Fantasy|Mystery|Romance,3.98
American Psycho,Crime|Horror|Mystery|Thriller,3.98
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,3.98
"Omen, The",Horror|Mystery|Thriller,3.95
"Name of the Rose, The",Crime|Drama|Mystery|Thriller,3.94
"Exorcist, The",Horror|Mystery,3.94
Gosford Park,Comedy|Drama|Mystery,3.93
Mystic River,Crime|Drama|Mystery,3.92
Charade,Comedy|Crime|Mystery|Romance|Thriller,3.92
Identity,Crime|Horror|Mystery|Thriller,3.91
Source Code,Action|Drama|Mystery|Sci-Fi|Thriller,3.91
"Game, The",Drama|Mystery|Thriller,3.9
"Curious Case of Benjamin Button, The",Drama|Fantasy|Mystery|Romance,3.89
"Others, The",Drama|Horror|Mystery|Thriller,3.89
Super 8,Mystery|Sci-Fi|Thriller|IMAX,3.86
Manhattan Murder Mystery,Comedy|Mystery,3.86
Dead Again,Mystery|Romance|Thriller,3.85
"Adventures of Tintin, The",Action|Animation|Mystery|IMAX,3.83
Man on Fire,Action|Crime|Drama|Mystery|Thriller,3.83
"Scanner Darkly, A",Animation|Drama|Mystery|Sci-Fi|Thriller,3.82
Sicario,Crime|Drama|Mystery,3.82
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,3.82
Three Days of the Condor,Drama|Mystery|Romance|Thriller,3.81
"Secret of Roan Inish, The",Children|Drama|Fantasy|Mystery,3.81
From Hell,Crime|Horror|Mystery|Thriller,3.8
Awakenings,Drama|Mystery,3.77
Holes,Adventure|Children|Comedy|Mystery,3.75
Primal Fear,Crime|Drama|Mystery|Thriller,3.74
Ringu,Horror|Mystery|Thriller,3.73
"Thomas Crown Affair, The",Action|Mystery,3.73
Super Troopers,Comedy|Crime|Mystery,3.71
Who Framed Roger Rabbit?,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,3.68
Red Dragon,Crime|Mystery|Thriller,3.65
Jacob's Ladder,Horror|Mystery,3.65
JFK,Drama|Mystery|Thriller,3.65
Hanna,Action|Adventure|Mystery|Thriller,3.64
K-PAX,Drama|Fantasy|Mystery|Sci-Fi,3.64
Amistad,Drama|Mystery,3.63
Mission: Impossible,Action|Adventure|Mystery|Thriller,3.62
Suicide Kings,Comedy|Crime|Drama|Mystery|Thriller,3.62
Stir of Echoes,Horror|Mystery|Thriller,3.61
