title,genres,weightedAverage
Wild Tales,Comedy|Drama|Thriller,4.5
His Girl Friday,Comedy|Romance,4.5
Creature Comforts,Animation|Comedy,4.5
Harold and Maude,Comedy|Drama|Romance,4.42
Louis C.K.: Live at the Beacon Theater,Comedy,4.4
Mary and Max,Animation|Comedy|Drama,4.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,4.4
"Philadelphia Story, The",Comedy|Drama|Romance,4.38
Living in Oblivion,Comedy,4.38
"Princess Bride, The",Action|Adventure|Comedy|Fantasy|Romance,4.37
In Bruges,Comedy|Crime|Drama|Thriller,4.37
Hedwig and the Angry Inch,Comedy|Drama|Musical,4.36
It Happened One Night,Comedy|Romance,4.36
"Great Dictator, The",Comedy|Drama|War,4.33
Snatch,Comedy|Crime|Thriller,4.33
Exit Through the Gift Shop,Comedy|Documentary,4.31
Amelie,Comedy|Romance,4.31
Happiness,Comedy|Drama,4.31
Pulp Fiction,Comedy|Crime|Drama|Thriller,4.3
"Girl Who Leapt Through Time, The",Animation|Comedy|Drama|Romance|Sci-Fi,4.3
Monty Python and the Holy Grail,Adventure|Comedy|Fantasy,4.3
Top Secret!,Comedy,4.3
Fantastic Mr. Fox,Adventure|Animation|Children|Comedy|Crime,4.28
The Artist,Comedy|Drama|Romance,4.27
"Science of Sleep, The",Comedy|Drama|Fantasy|Romance,4.27
Big Night,Comedy|Drama,4.27
Kelly's Heroes,Action|Comedy|War,4.27
Intouchables,Comedy|Drama,4.27
Life Is Beautiful,Comedy|Drama|Romance|War,4.27
"Descendants, The",Comedy|Drama,4.27
Forrest Gump,Comedy|Drama|Romance|War,4.27
Office Space,Comedy|Crime,4.26
Kiss Kiss Bang Bang,Comedy|Crime|Mystery|Thriller,4.26
Dirty Rotten Scoundrels,Comedy,4.25
"Grand Day Out with Wallace and Gromit, A",Adventure|Animation|Children|Comedy|Sci-Fi,4.25
Toy Story 3,Adventure|Animation|Children|Comedy|Fantasy|IMAX,4.24
Hot Fuzz,Action|Comedy|Crime|Mystery,4.23
Fargo,Comedy|Crime|Drama|Thriller,4.22
Trainspotting,Comedy|Crime|Drama,4.22
Manhattan,Comedy|Drama|Romance,4.21
Porco Rosso,Adventure|Animation|Comedy|Fantasy|Romance,4.21
Lost in Translation,Comedy|Drama|Romance,4.2
"Secret Life of Walter Mitty, The",Adventure|Comedy|Drama,4.2
Dead Alive,Comedy|Fantasy|Horror,4.2
Secretary,Comedy|Drama|Romance,4.2
Roman Holiday,Comedy|Drama|Romance,4.19
"Graduate, The",Comedy|Drama|Romance,4.19
"Legend of Drunken Master, The",Action|Comedy,4.19
Singin' in the Rain,Comedy|Musical|Romance,4.19
Breaking Away,Comedy|Drama,4.18
Monty Python's And Now for Something Completely Different,Comedy,4.18
"Cabin in the Woods, The",Comedy|Horror|Sci-Fi|Thriller,4.18
"Lock, Stock & Two Smoking Barrels",Comedy|Crime|Thriller,4.18
Army of Darkness,Action|Adventure|Comedy|Fantasy|Horror,4.18
Shaun of the Dead,Comedy|Horror,4.18
Back to the Future,Adventure|Comedy|Sci-Fi,4.17
Cyrano de Bergerac,Comedy|Drama|Romance,4.17
Thank You for Smoking,Comedy|Drama,4.17
Wallace & Gromit: The Wrong Trousers,Animation|Children|Comedy|Crime,4.16
Finding Nemo,Adventure|Animation|Children|Comedy,4.16
Some Like It Hot,Comedy|Crime,4.16
Evil Dead II,Action|Comedy|Fantasy|Horror,4.15
Monty Python's The Meaning of Life,Comedy,4.15
