title,genres,weightedAverage
Paths of Glory,Drama|War,4.67
"Celebration, The",Drama,4.67
Guess Who's Coming to Dinner,Drama,4.64
Secrets & Lies,Drama,4.64
All Quiet on the Western Front,Action|Drama|War,4.6
Persuasion,Drama|Romance,4.55
"Streetcar Named Desire, A",Drama,4.55
"Shawshank Redemption, The",Crime|Drama,4.53
"Boondock Saints, The",Action|Crime|Drama|Thriller,4.51
"Spring, Summer, Fall, Winter... and Spring",Drama,4.5
Once Upon a Time in the West,Action|Drama|Western,4.5
Wild Tales,Comedy|Drama|Thriller,4.5
Elite Squad,Action|Crime|Drama|Thriller,4.5
"Hustler, The",Drama,4.5
Ran,Drama|War,4.47
"Departed, The",Crime|Drama|Thriller,4.47
Persepolis,Animation|Drama,4.45
Sunset Blvd.,Drama|Film-Noir|Romance,4.44
Fight Club,Action|Crime|Drama|Thriller,4.44
In the Mood For Love,Drama|Romance,4.43
"Dark Knight, The",Action|Crime|Drama|IMAX,4.43
Harold and Maude,Comedy|Drama|Romance,4.42
Double Indemnity,Crime|Drama|Film-Noir,4.41
"Godfather, The",Crime|Drama,4.4
"Hunt, The",Drama,4.4
Goodfellas,Crime|Drama,4.4
Key Largo,Crime|Drama|Film-Noir|Thriller,4.4
Mary and Max,Animation|Comedy|Drama,4.4
Cool Hand Luke,Drama,4.4
Nightcrawler,Crime|Drama|Thriller,4.39
American History X,Crime|Drama,4.39
Lawrence of Arabia,Adventure|Drama|War,4.38
"Philadelphia Story, The",Comedy|Drama|Romance,4.38
Three Colors: Red,Drama,4.38
In Bruges,Comedy|Crime|Drama|Thriller,4.37
"Godfather: Part II, The",Crime|Drama,4.37
In the Name of the Father,Drama,4.36
Seven Pounds,Drama,4.36
Casablanca,Drama|Romance,4.36
There Will Be Blood,Drama|Western,4.36
Barton Fink,Drama|Thriller,4.36
Hedwig and the Angry Inch,Comedy|Drama|Musical,4.36
Miller's Crossing,Crime|Drama|Film-Noir|Thriller,4.35
"Boot, Das",Action|Drama|War,4.35
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,4.35
Schindler's List,Drama|War,4.35
Inglourious Basterds,Action|Drama|War,4.34
On the Waterfront,Crime|Drama,4.33
"King and I, The",Drama|Musical|Romance,4.33
Rebecca,Drama|Mystery|Romance|Thriller,4.33
"Pianist, The",Drama|War,4.33
"Seventh Seal, The",Drama,4.33
Apocalypse Now,Action|Drama|War,4.33
"Great Dictator, The",Comedy|Drama|War,4.33
One Flew Over the Cuckoo's Nest,Drama,4.33
All About Eve,Drama,4.33
Seven Samurai,Action|Adventure|Drama,4.33
Amadeus,Drama,4.32
High Noon,Drama|Western,4.32
"Lives of Others, The",Drama|Romance|Thriller,4.32
Bicycle Thieves,Drama,4.31
"Green Mile, The",Crime|Drama,4.31
Happiness,Comedy|Drama,4.31
Rosemary's Baby,Drama|Horror|Thriller,4.31
Grave of the Fireflies,Animation|Drama|War,4.31
"Sweet Hereafter, The",Drama,4.31
No Man's Land,Drama|War,4.31
Pulp Fiction,Comedy|Crime|Drama|Thriller,4.3
Raging Bull,Drama,4.3
For a Few Dollars More,Action|Drama|Thriller|Western,4.3
Dogville,Drama|Mystery|Thriller,4.3
Cat on a Hot Tin Roof,Drama,4.3
"Girl Who Leapt Through Time, The",Animation|Comedy|Drama|Romance|Sci-Fi,4.3
8 1/2,Drama|Fantasy,4.29
"Conversation, The",Drama|Mystery,4.29
Talk to Her,Drama|Romance,4.29
City of God,Action|Adventure|Crime|Drama|Thriller,4.29
Zero Dark Thirty,Action|Drama|Thriller,4.29
"Outlaw Josey Wales, The",Action|Adventure|Drama|Thriller|Western,4.28
Saving Private Ryan,Action|Drama|War,4.28
Mr. Smith Goes to Washington,Drama,4.28
12 Angry Men,Drama,4.28
"Lord of the Rings: The Return of the King, The",Action|Adventure|Drama|Fantasy,4.28
"Great Escape, The",Action|Adventure|Drama|War,4.28
Intouchables,Comedy|Drama,4.27
Life Is Beautiful,Comedy|Drama|Romance|War,4.27
Badlands,Crime|Drama|Thriller,4.27
"Prestige, The",Drama|Mystery|Sci-Fi|Thriller,4.27
Big Night,Comedy|Drama,4.27
Dead Man,Drama|Mystery|Western,4.27
"Descendants, The",Comedy|Drama,4.27
"Chorus, The",Drama,4.27
"Science of Sleep, The",Comedy|Drama|Fantasy|Romance,4.27
In the Heat of the Night,Drama|Mystery,4.27
Shutter Island,Drama|Mystery|Thriller,4.27
Forrest Gump,Comedy|Drama|Romance|War,4.27
The Artist,Comedy|Drama|Romance,4.27
Nausicaä of the Valley of the Wind,Adventure|Animation|Drama|Fantasy|Sci-Fi,4.26
Whiplash,Drama,4.26
All About My Mother,Drama,4.26
"Hurt Locker, The",Action|Drama|Thriller|War,4.26
Prisoners,Drama|Mystery|Thriller,4.25
Kiki's Delivery Service,Adventure|Animation|Children|Drama|Fantasy,4.24
Cinderella Man,Drama|Romance,4.24
Glory,Drama|War,4.24
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.24
3:10 to Yuma,Action|Crime|Drama|Western,4.24
Boogie Nights,Drama,4.23
Good Will Hunting,Drama|Romance,4.23
The Imitation Game,Drama|Thriller|War,4.22
"Bridge on the River Kwai, The",Adventure|Drama|War,4.22
Fargo,Comedy|Crime|Drama|Thriller,4.22
"King's Speech, The",Drama,4.22
Trainspotting,Comedy|Crime|Drama,4.22
Into the Wild,Action|Adventure|Drama,4.22
Unforgiven,Drama|Western,4.22
Full Metal Jacket,Drama|War,4.22
Lone Star,Drama|Mystery|Western,4.21
Patton,Drama|War,4.21
Taxi Driver,Crime|Drama|Thriller,4.21
Eastern Promises,Crime|Drama|Thriller,4.21
