title,genres,weightedAverage
"Boondock Saints, The",Action|Crime|Drama|Thriller,4.51
Wild Tales,Comedy|Drama|Thriller,4.5
Elite Squad,Action|Crime|Drama|Thriller,4.5
Spotlight,Thriller,4.47
"Departed, The",Crime|Drama|Thriller,4.47
Fight Club,Action|Crime|Drama|Thriller,4.44
Touch of Evil,Crime|Film-Noir|Thriller,4.41
Rear Window,Mystery|Thriller,4.4
Key Largo,Crime|Drama|Film-Noir|Thriller,4.4
Nightcrawler,Crime|Drama|Thriller,4.39
Chinatown,Crime|Film-Noir|Mystery|Thriller,4.37
In Bruges,Comedy|Crime|Drama|Thriller,4.37
"Usual Suspects, The",Crime|Mystery|Thriller,4.37
Barton Fink,Drama|Thriller,4.36
Miller's Crossing,Crime|Drama|Film-Noir|Thriller,4.35
"Third Man, The",Film-Noir|Mystery|Thriller,4.33
Rebecca,Drama|Mystery|Romance|Thriller,4.33
Snatch,Comedy|Crime|Thriller,4.33
"Matrix, The",Action|Sci-Fi|Thriller,4.32
"Lives of Others, The",Drama|Romance|Thriller,4.32
Memento,Mystery|Thriller,4.32
Rosemary's Baby,Drama|Horror|Thriller,4.31
Reservoir Dogs,Crime|Mystery|Thriller,4.31
Pulp Fiction,Comedy|Crime|Drama|Thriller,4.3
Dogville,Drama|Mystery|Thriller,4.3
For a Few Dollars More,Action|Drama|Thriller|Western,4.3
Notorious,Film-Noir|Romance|Thriller,4.3
Zero Dark Thirty,Action|Drama|Thriller,4.29
City of God,Action|Adventure|Crime|Drama|Thriller,4.29
North by Northwest,Action|Adventure|Mystery|Romance|Thriller,4.28
Old Boy,Mystery|Thriller,4.28
"Outlaw Josey Wales, The",Action|Adventure|Drama|Thriller|Western,4.28
"Prestige, The",Drama|Mystery|Sci-Fi|Thriller,4.27
Badlands,Crime|Drama|Thriller,4.27
"Silence of the Lambs, The",Crime|Horror|Thriller,4.27
Shutter Island,Drama|Mystery|Thriller,4.27
Kiss Kiss Bang Bang,Comedy|Crime|Mystery|Thriller,4.26
To Catch a Thief,Crime|Mystery|Romance|Thriller,4.26
"Hurt Locker, The",Action|Drama|Thriller|War,4.26
Ong-Bak: The Thai Warrior,Action|Thriller,4.25
Prisoners,Drama|Mystery|Thriller,4.25
Cowboy Bebop: The Movie,Action|Animation|Sci-Fi|Thriller,4.25
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.24
Blade Runner,Action|Sci-Fi|Thriller,4.23
